policy,seed,success,collision,timeout,n_steps,total_reward,gcr
orca+taga,26,1,0,0,74,40.297,0.0
orca+taga,27,1,0,0,95,42.4,0.0
orca+taga,28,1,0,0,58,31.413,0.0
orca+taga,29,0,1,0,37,-8.49,0.0
orca+taga,30,0,1,0,67,-36.903,0.1343
orca+taga,31,1,0,0,52,32.969,0.0
orca+taga,32,1,0,0,53,40.007,0.0
orca+taga,33,1,0,0,67,41.539,0.0
orca+taga,34,1,0,0,105,48.702,0.0
orca+taga,35,1,0,0,45,28.541,0.0
orca+taga,36,1,0,0,64,41.0,0.0
orca+taga,37,1,0,0,67,35.364,0.0
orca+taga,38,0,0,1,194,10.538,0.0
orca+taga,39,1,0,0,92,42.519,0.0
orca+taga,40,1,0,0,66,42.361,0.0
orca+taga,41,1,0,0,61,24.148,0.0
orca+taga,42,0,1,0,51,-31.009,0.0784
orca+taga,43,1,0,0,44,40.15,0.0
orca+taga,44,1,0,0,137,46.544,0.0073
orca+taga,45,0,1,0,23,-10.069,0.0
orca+taga,46,1,0,0,62,54.547,0.0
orca+taga,47,1,0,0,113,30.967,0.0
orca+taga,48,1,0,0,83,37.725,0.0
orca+taga,49,1,0,0,136,34.375,0.0
orca+taga,50,1,0,0,61,38.387,0.0
orca+taga,51,1,0,0,73,37.999,0.0
orca+taga,52,1,0,0,118,47.652,0.0169
orca+taga,53,1,0,0,95,36.642,0.0
orca+taga,54,1,0,0,56,44.956,0.0
orca+taga,55,0,1,0,23,-4.718,0.0
orca+taga,56,1,0,0,124,31.364,0.0
orca+taga,57,0,1,0,165,-19.623,0.0
orca+taga,58,1,0,0,84,8.671,0.1071
orca+taga,59,1,0,0,88,33.171,0.0
orca+taga,60,0,1,0,48,-2.294,0.0
orca+taga,61,0,0,1,194,22.916,0.0
orca+taga,62,1,0,0,58,29.552,0.0
orca+taga,63,1,0,0,104,8.743,0.0481
orca+taga,64,1,0,0,91,45.239,0.0
orca+taga,65,0,0,1,194,23.76,0.0
orca+taga,66,1,0,0,55,35.271,0.0
orca+taga,67,0,0,1,194,12.233,0.0
orca+taga,68,1,0,0,99,45.115,0.0
orca+taga,69,1,0,0,44,27.816,0.0
orca+taga,70,1,0,0,70,-73.476,0.3143
orca+taga,71,1,0,0,94,46.395,0.0
orca+taga,72,1,0,0,57,40.277,0.0702
orca+taga,73,1,0,0,106,47.049,0.0
orca+taga,74,1,0,0,69,37.552,0.0
orca+taga,75,0,1,0,50,-25.625,0.1
orca+taga,76,1,0,0,90,49.143,0.0
orca+taga,77,1,0,0,56,45.369,0.0
orca+taga,78,1,0,0,63,35.976,0.0
orca+taga,79,1,0,0,48,36.488,0.0
orca+taga,80,1,0,0,81,29.198,0.0
orca+taga,81,1,0,0,121,29.693,0.0
orca+taga,82,1,0,0,82,42.261,0.0
orca+taga,83,1,0,0,97,37.921,0.0
orca+taga,84,1,0,0,86,28.26,0.0
orca+taga,85,1,0,0,108,34.568,0.0
orca+taga,86,1,0,0,83,32.071,0.0
orca+taga,87,0,0,1,194,-80.145,0.1031
orca+taga,88,1,0,0,57,32.217,0.0
orca+taga,89,1,0,0,136,43.12,0.0
orca+taga,90,1,0,0,61,-8.268,0.1311
orca+taga,91,1,0,0,57,57.459,0.0
orca+taga,92,1,0,0,81,31.314,0.0
orca+taga,93,1,0,0,71,43.838,0.0
orca+taga,94,1,0,0,80,40.004,0.0
orca+taga,95,1,0,0,95,35.926,0.0
orca+taga,96,1,0,0,96,37.039,0.0
orca+taga,97,1,0,0,94,37.242,0.0
orca+taga,98,1,0,0,81,-5.621,0.0741
orca+taga,99,1,0,0,50,32.626,0.0
social_force,0,0,1,0,19,-19.456,0.0
social_force,1,1,0,0,59,31.917,0.0
social_force,2,0,1,0,74,-7.438,0.0
social_force,3,1,0,0,126,35.248,0.0
social_force,4,1,0,0,75,33.24,0.0
social_force,5,0,1,0,31,-10.775,0.0
social_force,6,0,1,0,35,0.024,0.0
social_force,7,1,0,0,95,32.535,0.0
social_force,8,1,0,0,74,25.424,0.0
social_force,9,0,1,0,51,-9.752,0.0
social_force,10,1,0,0,116,38.375,0.0
social_force,11,0,1,0,48,-7.544,0.0
social_force,12,1,0,0,119,25.92,0.0
social_force,13,0,1,0,112,13.138,0.0
social_force,14,0,0,1,194,51.463,0.0
social_force,15,0,1,0,54,-6.394,0.0
social_force,16,0,1,0,26,-12.436,0.0
social_force,17,1,0,0,48,30.712,0.0
social_force,18,0,1,0,45,-7.215,0.0
social_force,19,1,0,0,84,48.622,0.0
social_force,20,1,0,0,142,93.721,0.0
social_force,21,0,1,0,53,4.271,0.0
social_force,22,1,0,0,133,36.88,0.0
social_force,23,0,1,0,58,-4.402,0.0
social_force,24,0,1,0,50,5.146,0.0
social_force,25,0,1,0,168,10.733,0.0
social_force,26,1,0,0,83,39.314,0.0
social_force,27,1,0,0,118,42.538,0.0
social_force,28,0,1,0,33,-12.805,0.0
social_force,29,1,0,0,108,34.29,0.0
social_force,30,0,1,0,79,0.445,0.0
social_force,31,1,0,0,67,40.549,0.0
social_force,32,1,0,0,74,38.087,0.0
social_force,33,1,0,0,74,41.39,0.0
social_force,34,0,1,0,65,0.969,0.0
social_force,35,1,0,0,98,28.475,0.0
social_force,36,1,0,0,110,37.319,0.0
social_force,37,1,0,0,154,35.009,0.0
social_force,38,0,0,1,194,38.023,0.0155
social_force,39,0,1,0,88,5.487,0.0
social_force,40,0,1,0,36,-6.942,0.0
social_force,41,1,0,0,52,26.256,0.0
social_force,42,1,0,0,68,25.998,0.0
social_force,43,1,0,0,62,36.165,0.0
social_force,44,1,0,0,111,37.684,0.0
social_force,45,1,0,0,114,43.286,0.0
social_force,46,0,1,0,76,-4.179,0.0
social_force,47,0,0,1,194,14.107,0.0
social_force,48,0,1,0,83,30.561,0.0
social_force,49,0,1,0,81,24.486,0.0
social_force,50,1,0,0,68,38.388,0.0
social_force,51,1,0,0,178,35.852,0.0
social_force,52,0,1,0,77,-0.507,0.0
social_force,53,0,1,0,26,-11.779,0.0
social_force,54,1,0,0,56,38.166,0.0
social_force,55,0,1,0,20,-12.985,0.0
social_force,56,0,1,0,113,-5.212,0.0
social_force,57,1,0,0,95,35.89,0.0
social_force,58,0,1,0,14,0.48,0.0
social_force,59,1,0,0,112,32.286,0.0
social_force,60,1,0,0,112,49.621,0.0
social_force,61,1,0,0,120,41.095,0.0
social_force,62,0,1,0,15,-18.036,0.0
social_force,63,1,0,0,107,38.668,0.0
social_force,64,0,1,0,89,-4.52,0.0
social_force,65,0,1,0,37,-4.285,0.0
social_force,66,1,0,0,95,36.728,0.0
social_force,67,0,1,0,153,0.355,0.0
social_force,68,0,1,0,95,7.587,0.0
social_force,69,1,0,0,66,26.358,0.0
social_force,70,0,1,0,58,-3.862,0.0
social_force,71,0,1,0,12,-15.727,0.0
social_force,72,0,1,0,58,-3.846,0.0
social_force,73,1,0,0,109,46.841,0.0
social_force,74,1,0,0,70,37.696,0.0
social_force,75,0,1,0,55,-14.718,0.0
social_force,76,0,1,0,66,6.697,0.0
social_force,77,0,0,1,194,56.174,0.0
social_force,78,1,0,0,65,36.307,0.0
social_force,79,1,0,0,55,32.881,0.0
social_force,80,0,1,0,18,-18.623,0.0
social_force,81,0,0,1,194,14.826,0.0
social_force,82,0,1,0,40,-10.155,0.0
social_force,83,1,0,0,107,35.736,0.0
social_force,84,0,1,0,52,-4.291,0.0
social_force,85,0,1,0,16,-14.153,0.0
social_force,86,0,1,0,67,-2.437,0.0
social_force,87,0,1,0,99,-5.961,0.0
social_force,88,0,1,0,32,-10.073,0.0
social_force,89,0,1,0,23,-12.039,0.0
social_force,90,1,0,0,100,34.102,0.0
social_force,91,1,0,0,66,56.804,0.0
social_force,92,1,0,0,71,38.99,0.0
social_force,93,1,0,0,63,38.477,0.0
social_force,94,1,0,0,74,33.878,0.0
social_force,95,0,1,0,65,1.868,0.0
social_force,96,0,1,0,32,-16.183,0.0
social_force,97,0,1,0,67,-34.28,0.0896
social_force,98,0,1,0,26,-3.935,0.0
social_force,99,1,0,0,70,32.468,0.0
social_force+taga,0,0,0,1,194,13.791,0.0
social_force+taga,1,1,0,0,58,31.315,0.0
social_force+taga,2,0,1,0,74,-7.427,0.0
social_force+taga,3,1,0,0,177,46.179,0.0
social_force+taga,4,1,0,0,91,33.444,0.0
social_force+taga,5,1,0,0,110,36.122,0.0
social_force+taga,6,0,1,0,34,0.687,0.0
social_force+taga,7,1,0,0,121,35.072,0.0
social_force+taga,8,1,0,0,74,25.424,0.0
social_force+taga,9,0,1,0,51,-9.709,0.0
social_force+taga,10,1,0,0,111,38.401,0.0
social_force+taga,11,0,1,0,47,-8.533,0.0
social_force+taga,12,0,0,1,194,13.748,0.0
social_force+taga,13,1,0,0,113,59.041,0.0
social_force+taga,14,0,0,1,194,44.315,0.0
social_force+taga,15,0,1,0,54,-6.394,0.0
social_force+taga,16,0,1,0,26,-12.741,0.0
social_force+taga,17,1,0,0,48,30.712,0.0
social_force+taga,18,0,1,0,46,-7.086,0.0
social_force+taga,19,1,0,0,80,42.402,0.0
social_force+taga,20,1,0,0,117,90.843,0.0
social_force+taga,21,0,1,0,53,4.265,0.0
social_force+taga,22,0,0,1,194,29.88,0.0
social_force+taga,23,0,1,0,58,-4.402,0.0
social_force+taga,24,0,1,0,50,-2.684,0.0
social_force+taga,25,1,0,0,90,37.699,0.0
social_force+taga,26,0,1,0,29,-5.2,0.0
social_force+taga,27,1,0,0,118,42.444,0.0
social_force+taga,28,0,1,0,33,-13.419,0.0
social_force+taga,29,0,1,0,33,-5.535,0.0
social_force+taga,30,0,1,0,78,-2.202,0.0
social_force+taga,31,1,0,0,67,40.549,0.0
social_force+taga,32,1,0,0,74,38.087,0.0
social_force+taga,33,1,0,0,74,41.39,0.0
social_force+taga,34,0,1,0,59,9.301,0.0
social_force+taga,35,1,0,0,65,38.28,0.0
social_force+taga,36,1,0,0,110,37.319,0.0
social_force+taga,37,1,0,0,154,35.009,0.0
social_force+taga,38,0,0,1,194,9.461,0.0
social_force+taga,39,1,0,0,139,39.231,0.0
social_force+taga,40,0,1,0,37,-6.572,0.0
social_force+taga,41,1,0,0,52,26.233,0.0
social_force+taga,42,1,0,0,68,26.0,0.0
social_force+taga,43,0,1,0,41,-10.718,0.0
